iter	Passed	Remaining
431	2093	2753
432	2106	2758
433	2110	2751
434	2112	2743
435	2114	2735
436	2116	2727
437	2121	2722
438	2126	2717
439	2127	2708
440	2129	2699
441	2131	2690
442	2141	2692
443	2143	2684
444	2146	2676
445	2160	2683
446	2162	2675
447	2174	2679
448	2176	2671
449	2178	2662
450	2187	2663
451	2189	2654
452	2191	2646
453	2192	2636
454	2193	2627
455	2207	2633
456	2209	2625
457	2212	2618
458	2214	2610
459	2218	2604
460	2219	2595
461	2221	2586
462	2222	2577
463	2237	2584
464	2239	2576
465	2240	2567
466	2252	2570
467	2254	2562
468	2257	2556
469	2263	2551
470	2266	2545
471	2268	2537
472	2269	2528
473	2317	2571
474	2327	2572
475	2332	2567
476	2334	2559
477	2344	2559
478	2345	2551
479	2346	2542
480	2347	2532
481	2348	2524
482	2351	2517
483	2358	2513
484	2359	2505
485	2362	2498
486	2364	2490
487	2365	2481
488	2374	2481
489	2376	2473
490	2377	2464
491	2378	2455
492	2379	2447
493	2392	2450
494	2393	2442
495	2394	2433
496	2395	2424
497	2405	2425
498	2408	2418
499	2409	2409
500	2410	2401
501	2411	2392
502	2415	2386
503	2418	2380
504	2420	2372
505	2421	2363
506	2422	2355
507	2424	2347
508	2425	2339
509	2426	2330
510	2440	2335
511	2442	2327
512	2453	2329
513	2454	2321
514	2455	2312
515	2457	2304
516	2458	2296
517	2460	2289
518	2461	2281
519	2462	2273
520	2463	2265
521	2464	2256
522	2468	2251
523	2470	2244
524	2472	2236
525	2473	2228
526	2474	2220
527	2475	2212
528	2475	2204
529	2476	2196
530	2477	2188
531	2492	2192
532	2494	2185
533	2503	2184
534	2504	2176
535	2505	2169
536	2506	2161
537	2508	2153
538	2509	2146
539	2520	2147
540	2522	2140
541	2523	2132
542	2524	2124
543	2542	2130
544	2550	2129
545	2552	2122
546	2553	2114
547	2554	2107
548	2555	2099
549	2556	2091
550	2567	2092
551	2569	2085
552	2571	2078
553	2572	2070
554	2578	2067
555	2581	2061
556	2583	2054
557	2584	2047
558	2585	2039
559	2586	2032
560	2597	2032
561	2598	2025
562	2600	2018
563	2602	2011
564	2616	2014
565	2617	2007
566	2620	2001
567	2629	2000
568	2631	1993
569	2632	1985
570	2633	1978
571	2634	1971
572	2643	1969
573	2646	1963
574	2647	1956
575	2648	1949
576	2649	1942
577	2651	1935
578	2652	1928
579	2654	1922
580	2656	1916
581	2658	1909
582	2660	1902
583	2661	1895
584	2662	1888
585	2662	1881
586	2663	1874
587	2683	1880
588	2685	1873
589	2687	1867
590	2689	1861
591	2690	1854
592	2691	1847
593	2693	1840
594	2694	1834
595	2695	1827
596	2700	1822
597	2702	1816
598	2703	1810
599	2705	1803
600	2706	1797
601	2708	1790
602	2708	1783
603	2709	1776
604	2713	1771
605	2717	1766
606	2718	1760
607	2719	1753
608	2720	1746
609	2720	1739
610	2721	1732
611	2722	1726
612	2723	1719
613	2724	1712
614	2726	1706
615	2730	1702
616	2731	1695
617	2732	1689
618	2733	1682
619	2734	1675
620	2739	1671
621	2743	1667
622	2745	1661
623	2745	1654
624	2746	1647
625	2747	1641
626	2748	1634
627	2750	1629
628	2766	1631
629	2791	1639
630	2793	1633
631	2794	1627
632	2795	1620
633	2796	1614
634	2797	1608
635	2802	1603
636	2806	1599
637	2807	1592
638	2808	1586
639	2809	1580
640	2810	1573
641	2811	1567
642	2812	1561
643	2812	1555
644	2813	1548
645	2816	1543
646	2819	1538
647	2820	1532
648	2821	1526
649	2822	1519
650	2823	1513
651	2839	1515
652	2841	1509
653	2847	1506
654	2849	1500
655	2850	1495
656	2851	1488
657	2853	1483
658	2854	1476
659	2855	1470
660	2860	1467
661	2863	1462
662	2864	1455
663	2865	1449
664	2866	1444
665	2867	1438
666	2868	1432
667	2869	1426
668	2875	1422
669	2880	1418
670	2881	1412
671	2882	1406
672	2883	1400
673	2884	1395
674	2895	1394
675	2897	1388
676	2898	1382
677	2899	1377
678	2900	1371
679	2914	1371
680	2916	1366
681	2924	1363
682	2926	1358
683	2927	1352
684	2932	1348
685	2936	1344
686	2938	1338
687	2939	1333
688	2941	1327
689	2942	1321
690	2943	1316
691	2953	1314
692	2954	1308
693	2955	1302
694	2956	1297
695	2957	1291
696	2958	1286
697	2962	1281
698	2964	1276
699	2967	1271
700	2968	1266
701	2969	1260
702	2970	1255
703	2971	1249
704	2972	1243
705	2973	1238
706	2975	1233
707	2976	1227
708	2980	1223
709	2982	1218
710	2983	1212
711	2984	1207
712	2985	1201
713	2985	1196
714	2986	1190
715	2987	1185
716	2990	1180
717	3002	1179
718	3003	1173
719	3005	1168
720	3029	1172
721	3034	1168
722	3035	1163
723	3043	1160
724	3045	1155
725	3047	1150
726	3049	1145
727	3050	1139
728	3052	1134
729	3057	1130
730	3059	1125
731	3060	1120
732	3061	1115
733	3067	1111
734	3073	1108
735	3074	1102
736	3076	1097
737	3077	1092
738	3091	1091
739	3092	1086
740	3093	1081
741	3097	1076
742	3099	1072
743	3101	1067
744	3102	1061
745	3103	1056
746	3104	1051
747	3105	1046
748	3106	1041
749	3107	1035
750	3108	1030
751	3117	1027
752	3118	1023
753	3119	1017
754	3120	1012
755	3121	1007
756	3122	1002
757	3123	997
758	3133	994
759	3134	989
760	3135	984
761	3137	979
762	3138	974
763	3139	969
764	3141	965
765	3145	960
766	3148	956
767	3151	951
768	3152	947
769	3153	941
770	3154	936
771	3155	931
772	3156	926
773	3157	921
774	3165	918
775	3166	913
776	3167	908
777	3167	903
778	3169	899
779	3170	894
780	3171	889
781	3171	884
782	3175	880
783	3187	878
784	3190	873
785	3192	869
786	3194	864
787	3196	859
788	3198	855
789	3199	850
790	3200	845
791	3200	840
792	3202	835
793	3203	831
794	3217	829
795	3218	824
796	3219	820
797	3227	817
798	3230	812
799	3231	807
800	3232	803
801	3233	798
802	3234	793
803	3255	793
804	3258	789
805	3260	784
806	3261	780
807	3262	775
808	3263	770
809	3264	765
810	3265	761
811	3271	757
812	3274	753
813	3276	748
814	3277	743
815	3278	739
816	3279	734
817	3280	729
818	3281	725
819	3285	721
820	3287	716
821	3289	712
822	3291	707
823	3291	703
824	3292	698
825	3293	693
826	3294	689
827	3295	684
828	3295	679
829	3298	675
830	3301	671
831	3302	666
832	3303	662
833	3304	657
834	3305	653
835	3305	648
836	3306	643
837	3307	639
838	3310	635
839	3311	630
840	3314	626
841	3315	622
842	3316	617
843	3317	613
844	3317	608
845	3318	604
846	3319	599
847	3320	595
848	3321	590
849	3321	586
850	3326	582
851	3331	578
852	3333	574
853	3334	569
854	3335	565
855	3335	561
856	3336	556
857	3340	552
858	3345	549
859	3346	544
860	3347	540
861	3348	536
862	3349	531
863	3349	527
864	3361	524
865	3362	520
866	3363	515
867	3364	511
868	3365	507
869	3367	503
870	3368	498
871	3370	494
872	3372	490
873	3374	486
874	3375	482
875	3376	477
876	3377	473
877	3377	469
878	3378	465
879	3379	460
880	3380	456
881	3385	452
882	3388	448
883	3389	444
884	3390	440
885	3391	436
886	3392	432
887	3393	427
888	3393	423
889	3394	419
890	3395	415
891	3398	411
892	3400	407
893	3402	403
894	3403	399
895	3404	395
896	3405	390
897	3405	386
898	3406	382
899	3407	378
900	3408	374
901	3412	370
902	3415	366
903	3417	362
904	3418	358
905	3419	354
906	3420	350
907	3421	346
908	3422	342
909	3422	338
910	3425	334
911	3426	330
912	3429	326
913	3431	322
914	3432	318
915	3433	314
916	3434	310
917	3434	306
918	3435	302
919	3436	298
920	3437	294
921	3438	290
922	3439	286
923	3440	283
924	3442	279
925	3444	275
926	3445	271
927	3446	267
928	3447	263
929	3448	259
930	3448	255
931	3449	251
932	3450	247
933	3451	243
934	3464	240
935	3465	236
936	3466	233
937	3467	229
938	3474	225
939	3477	221
940	3478	218
941	3479	214
942	3480	210
943	3481	206
944	3482	202
945	3498	199
946	3502	196
947	3504	192
948	3508	188
949	3509	184
950	3510	180
951	3511	177
952	3512	173
953	3513	169
954	3522	165
955	3524	162
956	3525	158
957	3527	154
958	3528	150
959	3529	147
960	3534	143
961	3538	139
962	3541	136
963	3542	132
964	3543	128
965	3543	124
966	3547	121
967	3553	117
968	3555	113
969	3556	110
970	3557	106
971	3558	102
972	3559	98
973	3563	95
974	3565	91
975	3567	87
976	3568	84
977	3574	80
978	3577	76
979	3579	73
980	3580	69
981	3581	65
982	3583	61
983	3584	58
984	3585	54
985	3589	50
986	3590	47
987	3591	43
988	3596	40
989	3599	36
990	3602	32
991	3604	29
992	3606	25
993	3607	21
994	3613	18
995	3618	14
996	3619	10
997	3620	7
998	3621	3
999	3622	0
